	dimension 1	dimension 2
1001700606_N11	-14.714415	-28.491385
1001700606_N13	-25.78795	-28.313885
1001700606_N16	-23.469046	-30.20377
1001700606_N19	14.615397	2.4180846
1001700606_N21	-21.081032	-20.334137
1001700606_O3	-8.523893	12.757863
1001700606_O5	9.950201	14.021768
1001700606_O8	-18.009993	-37.0175
1001700606_O11	-38.060417	-13.695518
1001700606_O12	21.79515	-18.987917
1001700606_O17	-23.704653	-18.843544
1001700606_O20	-41.81491	-11.219063
1001700606_P4	-25.392353	-10.529225
1001700606_P5	-36.203	15.360681
1001700606_P9	-37.74339	6.4339533
1001700606_P10	-24.412418	0.82974356
1001700606_P12	-19.547642	5.123478
1001700606_P18	-32.777122	13.246056
1001700606_P19	-35.466156	11.864342
1001700608_B5	-28.168814	-33.930035
1001700608_B8	12.061239	-8.110686
1001700608_B11	24.014576	23.767735
1001700608_B13	31.667404	-6.104067
1001700608_B17	33.24614	3.3521893
1001700608_C3	-1.8451757	-16.839317
1001700608_C4	-25.220951	-15.784834
1001700608_C6	24.805895	-16.2807
1001700608_C10	-22.21017	-16.79125
1001700608_C15	-42.830982	-15.128594
1001700608_C18	-16.272295	-25.404728
1001700608_C20	-30.860695	-8.235389
1001700608_D6	37.183067	-2.6801336
1001700608_D7	15.197521	-1.7826389
1001700608_D8	19.26181	17.864742
1001700608_D12	14.702043	-1.8384639
1001700608_D17	-27.093878	-45.410587
1001700608_E1	9.438211	-2.6394835
1001700608_E2	-11.851497	12.76135
1001700608_E3	-13.491104	6.1204705
1001700608_E4	25.489862	-5.7226706
1001700608_E8	-44.485043	-21.319025
1001700608_E11	-5.627244	-4.041051
1001700608_E14	15.380325	22.217304
1001700608_E17	-8.753759	-40.285656
1001700608_E19	-20.340542	9.394166
1001700608_E20	16.29252	2.9832478
1001700608_F2	-1.0712299	-25.925447
1001700608_F8	5.569121	-8.927399
1001700608_F16	9.91086	-14.824439
1001700608_G1	8.123491	18.111456
1001700608_G2	-4.2112107	-0.03676575
1001700608_G5	26.073133	18.922653
1001700608_G11	-28.187931	-7.9429817
1001700608_G13	-19.846664	3.3686037
1001700608_G19	15.957641	11.521732
1001700608_G21	-28.221807	-32.112278
1001700608_H3	22.044762	22.390444
1001700608_H13	27.414032	4.1427855
1001700608_H16	18.551344	-10.411467
1001700608_H17	14.013275	5.5847263
1001700608_H19	-41.33915	-1.3082933
1001700608_I1	20.783829	4.2943673
1001700608_I2	33.671844	31.454557
1001700608_I4	33.52241	-2.2559028
1001700608_I11	-23.281555	-33.254337
1001700608_I16	-17.58533	-30.237846
1001700608_I20	20.963053	19.635271
1001700608_J3	-23.729723	-20.394016
1001700608_J10	-26.702215	3.9752157
1001700608_J11	-13.524787	-23.134647
1001700608_J14	32.43388	12.391906
1001700608_J18	-0.56444603	-14.085935
1001700608_J19	25.35824	42.32381
1001700608_J21	15.317766	11.159085
1001700608_K2	-35.476982	-15.675666
1001700608_K4	20.143574	27.76841
1001700608_K12	-32.943726	-15.193429
1001700608_K14	41.81299	10.683627
1001700608_K17	27.848932	5.4218607
1001700608_K18	-37.393467	0.5785678
1001700608_K20	20.71533	12.1982355
1001700608_L8	-23.68889	-31.236534
1001700608_L10	15.263256	-16.532413
1001700608_L14	37.554905	-1.4403688
1001700608_L16	19.21778	19.431307
1001700608_L17	-28.32578	-5.0191493
1001700608_L19	-25.438871	-32.575184
1001700608_M2	-46.714775	-22.185854
1001700608_M4	-3.9983246	-14.9300585
1001700608_M9	17.991606	13.830132
1001700608_M10	-17.328732	-27.962708
1001700608_M12	-34.501736	-3.6838334
1001700608_M13	35.45282	39.446857
1001700608_M15	33.520817	-1.6639744
1001700608_M18	-12.370133	9.172268
1001700608_M20	3.5395894	0.36690468
1001700608_N6	-17.368322	5.0922437
1001700608_N9	20.17761	14.3260145
1001700608_N12	-34.23598	-15.75301
1001700608_N13	16.658712	16.087816
1001700608_N14	-29.750786	-8.813982
1001700608_N16	3.1988697	1.3797089
1001700608_N18	-31.736198	-32.361935
1001700608_N19	25.385273	2.5097165
1001700608_O2	-46.73626	-24.549063
1001700608_O4	-43.794388	-16.57493
1001700608_O8	13.274663	23.528837
1001700608_O10	36.956226	7.4099116
1001700608_O12	6.132009	-25.719606
1001700608_O15	-32.911785	-32.33087
1001700608_O17	-26.5703	-26.332779
1001700608_O19	15.604589	3.67102
1001700608_O20	10.97664	17.529537
1001700608_O22	22.039053	-12.16275
1001700608_P6	-46.24407	-13.25381
1001700608_P7	-29.23227	16.219938
1001700608_P8	-21.421478	-35.0333
1001700608_P11	9.054103	-3.933045
1001700608_P14	-24.21238	-14.144238
1001700608_P15	-26.06309	10.340848
1001700608_P17	-24.305967	-3.7465475
1001700608_P21	-36.81915	16.24085
1001700609_A1	8.096725	30.617542
1001700609_A2	-30.240286	21.003922
1001700609_A9	32.274734	29.135244
1001700609_A11	36.292225	28.272156
1001700609_A14	37.57292	18.540068
1001700609_A16	36.92521	30.581705
1001700609_A17	24.827665	5.241969
1001700609_A21	-33.312954	12.636829
1001700609_A22	33.00515	20.95095
1001700609_B6	39.375336	38.187576
1001700609_B12	29.176962	-3.2583444
1001700609_B15	35.50893	14.7816515
1001700609_B22	21.008648	7.191348
1001700609_C3	27.394175	-7.377608
1001700609_C4	11.665424	29.90914
1001700609_C7	19.597559	28.973125
1001700609_C9	23.677954	32.393894
1001700609_C13	43.410637	11.037833
1001700609_C16	30.275612	8.220556
1001700609_C20	-32.4936	-38.67332
1001700609_C21	37.335037	19.682085
1001700609_C22	4.167927	22.3003
1001700609_D2	25.223385	7.220522
1001700609_D8	3.0367408	2.9124794
1001700609_D14	16.697329	-14.59801
1001700609_D20	23.176874	15.754521
1001700609_D21	30.30371	3.9314783
1001700609_E1	46.549587	48.74307
1001700609_E9	4.400621	-10.986046
1001700609_E11	27.659805	30.920183
1001700609_E12	37.911953	0.6627082
1001700609_E15	5.878524	-14.066949
1001700609_E17	-24.50324	-7.4985485
1001700609_E19	5.2298393	1.7629724
1001700609_E21	25.649628	16.586239
1001700609_F6	30.239418	20.537125
1001700609_F8	4.7239923	15.27205
1001700609_F11	28.400835	28.697447
1001700609_F13	22.15817	-3.812186
1001700609_F14	18.674128	9.5415745
1001700609_F16	31.706568	32.584328
1001700609_F18	-26.200415	-34.988552
1001700609_F22	30.10268	26.288061
1001700609_G2	36.016407	11.159226
1001700609_G7	31.080627	-6.14017
1001700609_G10	23.765676	-7.3168216
1001700609_G15	45.603893	29.46131
1001700609_G16	4.917696	10.248958
1001700609_G18	29.061047	16.590155
1001700609_G19	-10.837583	1.5979793
1001700609_G21	20.107014	32.640507
1001700609_H3	14.0478115	35.41128
1001700609_H5	16.714497	-1.4530888
1001700609_H8	40.586052	39.226048
1001700609_H11	35.479206	9.509148
1001700609_H13	11.417923	3.019872
1001700609_H18	25.828995	0.735459
1001700609_H20	26.695665	0.024351561
1001700609_I1	22.642193	35.53764
1001700609_I4	26.581255	13.337602
1001700609_I7	33.26429	23.042105
1001700609_I10	24.925964	-0.03429797
1001700609_I13	11.728249	-10.244208
1001700609_I15	22.58143	-7.3876767
1001700609_I17	16.418076	26.35436
1001700609_I19	39.5347	38.378162
1001700609_I21	14.838364	-3.112922
1001700609_J2	17.412743	31.972906
1001700609_J6	33.186512	6.899267
1001700609_J8	36.901363	34.63734
1001700609_J11	-4.9119806	21.198654
1001700609_J12	30.56021	26.361803
1001700609_J14	-29.30355	-35.014572
1001700609_J16	19.346113	37.215412
1001700609_J19	16.45997	30.182068
1001700609_J21	26.804277	-1.8775333
1001700609_J22	33.772163	28.772234
1001700609_K3	37.12415	-0.79736066
1001700609_K4	20.451662	-8.579465
1001700609_K11	13.56606	27.735937
1001700609_K12	35.357224	16.697876
1001700609_K18	27.324818	8.175582
1001700609_K20	31.541176	26.53304
1001700609_K22	13.383773	23.441805
1001700609_L1	7.7851057	18.912565
1001700609_L2	13.529892	-1.6063509
1001700609_L5	27.268456	-0.85736686
1001700609_L10	29.116762	10.086807
1001700609_L13	9.687411	-7.9189982
1001700609_L19	32.714	10.4904585
1001700609_L20	38.714344	39.73689
1001700609_L21	29.00315	22.938126
1001700609_M2	6.413074	-14.065502
1001700609_M3	25.621494	10.619126
1001700609_M6	26.207048	23.993908
1001700609_M8	30.084686	-0.66882694
1001700609_M12	14.069031	-20.900517
1001700609_M14	6.3253264	24.997383
1001700609_M17	20.227903	18.90403
1001700609_M18	28.45473	30.883554
1001700609_M22	26.468332	-3.8415985
1001700609_N2	-27.06677	-44.41059
1001700609_N4	36.961838	8.215893
1001700609_N5	16.839779	13.732196
1001700609_N7	0.59660274	-11.126572
1001700609_N9	19.097565	24.47152
1001700609_N11	5.4409	24.598242
1001700609_N12	21.460636	5.313123
1001700609_N13	35.8307	17.637424
1001700609_N14	10.028022	-14.989445
1001700609_N15	11.418851	22.117859
1001700609_N16	26.790524	37.106636
1001700609_N17	19.016623	8.96843
1001700609_N18	25.5753	37.045162
1001700609_N21	38.409958	17.212654
1001700609_O3	22.533615	-6.501422
